TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON_ID
1610612737,Atlanta Hawks,16,8,8,0.5,778.0,101.0,102.8,101.0,102.9,0.0,-0.2,0.646,1.88,18.1,0.263,0.711,0.489,0.133,0.484,0.521,95.9,94.15,78.46,1526,0.514,4,4,15,6,4,10,5,7,1,2,3,14,8,11,6,9,10,11,5,2014-15
1610612738,Boston Celtics,4,0,4,0.0,192.0,97.2,100.5,110.2,108.9,-13.0,-8.4,0.576,1.48,15.7,0.26,0.696,0.471,0.143,0.453,0.504,95.9,94.88,79.06,377,0.427,14,14,1,14,16,13,12,14,10,13,11,15,14,15,11,14,12,7,14,2014-15
1610612751,Brooklyn Nets,6,2,4,0.333,293.0,99.1,100.2,103.6,105.9,-4.5,-5.7,0.599,1.51,16.8,0.242,0.72,0.482,0.149,0.486,0.522,96.0,94.53,78.77,577,0.458,10,10,1,10,11,14,8,11,7,11,7,16,4,13,12,8,9,10,12,2014-15
1610612741,Chicago Bulls,12,6,6,0.5,586.0,100.5,104.2,98.1,101.1,2.4,3.1,0.632,1.58,17.0,0.337,0.707,0.525,0.152,0.474,0.515,93.4,90.31,75.26,1106,0.526,6,6,12,6,6,8,3,4,3,9,6,1,10,2,16,11,11,16,3,2014-15
1610612739,Cleveland Cavaliers,20,14,6,0.7,975.0,104.0,106.6,100.3,102.2,3.6,4.4,0.519,1.39,14.2,0.327,0.728,0.527,0.139,0.479,0.524,93.5,91.47,76.23,1857,0.519,2,2,12,2,2,5,4,2,14,16,15,2,2,1,10,10,8,15,4,2014-15
1610612742,Dallas Mavericks,5,1,4,0.2,240.0,106.1,107.0,108.6,111.3,-2.5,-4.3,0.51,1.49,15.2,0.309,0.709,0.507,0.138,0.493,0.534,104.4,102.7,85.58,514,0.476,12,12,1,12,12,4,14,10,15,12,13,3,9,4,8,6,6,1,10,2014-15
1610612744,Golden State Warriors,21,16,5,0.762,1023.0,106.4,107.1,97.4,98.8,9.0,8.2,0.642,1.68,18.3,0.285,0.707,0.501,0.152,0.521,0.55,96.1,95.13,79.28,2026,0.547,1,1,10,1,1,3,1,1,2,6,1,6,11,6,14,1,1,5,1,2014-15
1610612745,Houston Rockets,17,9,8,0.529,816.0,103.9,106.0,106.9,108.4,-2.9,-2.4,0.586,1.41,15.8,0.291,0.707,0.498,0.152,0.505,0.544,103.8,102.06,85.05,1735,0.485,3,3,15,5,3,6,11,9,9,15,10,5,12,8,15,4,3,2,9,2014-15
1610612746,Los Angeles Clippers,14,7,7,0.5,677.0,105.9,107.9,105.3,106.7,0.6,1.1,0.57,1.71,16.7,0.265,0.705,0.489,0.132,0.515,0.548,100.7,99.08,82.57,1399,0.513,5,5,14,6,5,1,10,5,12,5,8,13,13,10,5,2,2,3,6,2014-15
1610612763,Memphis Grizzlies,11,6,5,0.545,528.0,100.2,101.7,102.0,103.1,-1.8,-1.5,0.57,1.85,16.0,0.279,0.738,0.502,0.118,0.451,0.503,94.3,93.14,77.61,1025,0.508,7,6,10,4,7,11,6,8,11,3,9,8,1,5,1,15,14,12,7,2014-15
